cod_icao;nombre_aerolinea;identificacion;pais_aerolinea;cod_pais
ABM;Aero Albatros                                                                                       ;ALBATROS ESPANA                                   ;Spain                                             ;ESP       
ADG;Aerea Flying Training Organization                                                                  ;AEREA TRAINING                                    ;Spain                                             ;ESP       
ADI;Audeli Air                                                                                          ;AUDELI                                            ;Spain                                             ;ESP       
AEA;Air Europa                                                                                          ;EUROPA                                            ;Spain                                             ;ESP       
AEM;Aero Madrid                                                                                         ;AEROMADRID                                        ;Spain                                             ;ESP       
AEP;Aerotec                                                                                             ;AEROTEC                                           ;Spain                                             ;ESP       
AGT;Amadeus Global Travel Distribution                                                                  ;AMADEUS                                           ;Spain                                             ;ESP       
AIU;Alicante Internacional Airlines                                                                     ;ALIA                                              ;Spain                                             ;ESP       
AIS;Air Sureste                                                                                         ;SURESTE                                           ;Spain                                             ;ESP       
ANE;Air Nostrum                                                                                         ;AIR NOSTRUM                                       ;Spain                                             ;ESP       
ARK;Aero Link Air Services S.L.                                                                         ;LINK SERVICE                                      ;Spain                                             ;ESP       
ARM;Aeromarket Express                                                                                  ;AMEX                                              ;Spain                                             ;ESP       
AVS;Avialsa T-35                                                                                        ;AVIALSA                                           ;Spain                                             ;ESP       
AVZ;Air Valencia                                                                                        ;AIR VALENCIA                                      ;Spain                                             ;ESP       
AXP;Aeromax                                                                                             ;AEROMAX SPAIN                                     ;Spain                                             ;ESP       
OVA;Aero Nova                                                                                           ;AERONOVA                                          ;Spain                                             ;ESP       
PLL;Air Pal                                                                                             ;AIRPAL                                            ;Spain                                             ;ESP       
PLM;Air Pullmantur                                                                                      ;PULLMANTUR                                        ;Spain                                             ;ESP       
VAD;Aero Taxi Los Valles                                                                                ;VALLES                                            ;Spain                                             ;ESP       
VAE;Air Evans                                                                                           ;AIR-EVANS                                         ;Spain                                             ;ESP       
CFF;Aerofan                                                                                             ;AEROFAN                                           ;Spain                                             ;ESP       
CNU;Air Consul                                                                                          ;AIR CONSUL                                        ;Spain                                             ;ESP       
DNC;Aeroynamics Malaga                                                                                  ;FLYINGOLIVE                                       ;Spain                                             ;ESP       
DRD;Air Madrid                                                                                          ;ALADA AIR                                         ;Spain                                             ;ESP       
ECL;Aeronautica Castellana                                                                              ;AERO CASTELLANA                                   ;Spain                                             ;ESP       
EET;Air Este                                                                                            ;AESTE                                             ;Spain                                             ;ESP       
ENW;Aeronaves Del Noroeste                                                                              ;AERONOR                                           ;Spain                                             ;ESP       
FNO;Aeroflota Del Noroeste                                                                              ;RIAZOR                                            ;Spain                                             ;ESP       
GCF;Aeronor                                                                                             ;AEROCARTO                                         ;Spain                                             ;ESP       
